location,Basilea,Basilea,Basilea,Basilea
lat,47.54694,47.54694,47.54694,47.54694
lon,7.56892,7.56892,7.56892,7.56892
asl,283.697,283.697,283.697,283.697
variable,Temperature,Relative Humidity,Wind Speed,Wind Direction
unit,°C,%,km/h,°
level,2 m elevation corrected,2 m,10 m,10 m
resolution,hourly,hourly,hourly,hourly
aggregation,None,None,None,None
timestamp,Basilea Temperature [2 m elevation corrected],Basilea Relative Humidity [2 m],Basilea Wind Speed [10 m],Basilea Wind Direction [10 m]
20210823T0000,15.240529,81.0,9.36,180.0
20210823T0100,13.900529,84.0,8.759178,170.53767
20210823T0200,13.500529,84.0,6.87779,173.991
20210823T0300,13.250529,81.0,6.8399997,180.0
20210823T0400,13.190529,78.0,6.519877,186.3402
20210823T0500,13.110529,75.0,6.638072,192.52881
20210823T0600,12.940529,74.0,6.638072,192.52881
20210823T0700,13.200529,75.0,6.379216,196.38954
20210823T0800,14.380529,76.0,3.671294,191.30994
20210823T0900,16.90053,71.0,4.829907,296.56506
20210823T1000,17.22053,71.0,6.28713,293.6294
20210823T1100,19.660528,61.0,14.04,270.0
20210823T1200,20.56053,60.0,15.745627,280.53918
20210823T1300,20.100529,61.0,15.175612,292.3062
20210823T1400,21.100529,54.0,10.514218,321.95297
20210823T1500,21.71053,53.0,11.631956,338.1986
20210823T1600,21.13053,55.0,13.004921,355.23636
20210823T1700,21.54053,55.0,14.759999,360.0
20210823T1800,21.12053,56.0,15.124284,1.3639221
20210823T1900,20.580528,60.0,14.04,360.0
20210823T2000,19.64053,66.0,11.609651,352.875
20210823T2100,17.850529,74.0,10.105681,355.91437
20210823T2200,17.350529,76.0,4.73506,351.25385
20210823T2300,16.80053,79.0,1.4399999,360.0
20210824T0000,16.70053,79.0,5.3999996,89.99999
20210824T0100,15.380529,80.0,6.8399997,89.99999
20210824T0200,14.270529,83.0,5.1919937,123.69006
20210824T0300,13.710529,85.0,3.2399998,180.0
20210824T0400,13.420529,85.0,4.2136917,199.98311
20210824T0500,13.120529,85.0,2.5959969,213.69006
20210824T0600,12.680529,87.0,2.9024127,240.25513
20210824T0700,12.010529,91.0,5.3999996,270.0
20210824T0800,12.020529,92.0,7.0911775,293.9625
20210824T0900,12.420529,90.0,6.193674,305.5377
20210824T1000,14.060529,81.0,1.4399999,360.0
20210824T1100,16.280529,74.0,5.3999996,53.130096
20210824T1200,20.29053,58.0,15.141414,71.995834
20210824T1300,22.07053,51.0,21.313093,74.32047
20210824T1400,23.590528,45.0,15.827721,72.80146
20210824T1500,23.88053,44.0,18.448023,72.97948
20210824T1600,23.520529,46.0,24.933735,85.03026
20210824T1700,23.160528,47.0,23.087763,79.2157
20210824T1800,23.110529,46.0,22.89611,73.559616
20210824T1900,22.440529,48.0,22.253124,80.69006
20210824T2000,20.940529,52.0,18.709612,78.90628
20210824T2100,19.250528,57.0,14.145756,75.25644
20210824T2200,17.80053,61.0,12.144331,78.023865
20210824T2300,16.840528,65.0,10.931203,72.75854
20210825T0000,15.990529,68.0,7.289444,69.77513
20210825T0100,14.390529,75.0,3.2599385,353.65985
20210825T0200,12.8005295,85.0,2.6208394,285.9454
20210825T0300,12.380529,89.0,3.0758414,339.44397
20210825T0400,12.180529,91.0,5.692099,325.30484
20210825T0500,11.860529,92.0,7.342588,348.69006
20210825T0600,11.900529,90.0,3.396233,327.99463
20210825T0700,11.670529,89.0,4.68,360.0
20210825T0800,12.600529,85.0,3.219938,26.565033
20210825T0900,14.400529,78.0,6.1094027,44.999985
20210825T1000,16.46053,68.0,9.504273,65.37643
20210825T1100,18.190529,62.0,8.891344,68.62937
20210825T1200,19.680529,59.0,8.39657,59.036232
20210825T1300,21.190529,56.0,7.127636,44.999985
20210825T1400,22.62053,52.0,6.12,61.927513
20210825T1500,23.56053,45.0,9.931042,46.468796
20210825T1600,23.89053,43.0,7.9036193,59.93141
20210825T1700,24.05053,43.0,9.422101,96.58194
20210825T1800,23.57053,45.0,10.483357,105.9454
20210825T1900,22.930529,47.0,9.107359,108.434944
20210825T2000,21.860529,51.0,5.937272,104.03624
20210825T2100,20.32053,58.0,4.072935,135.0
20210825T2200,18.65053,65.0,3.319036,167.47119
20210825T2300,17.250528,70.0,1.835647,191.30994
20210826T0000,16.330528,72.0,2.5455842,188.1301
20210826T0100,15.740529,71.0,1.4399999,180.0
20210826T0200,15.190529,73.0,1.8,180.0
20210826T0300,14.440529,79.0,2.2768397,108.434944
20210826T0400,13.820529,84.0,2.0991426,120.96376
20210826T0500,13.440529,86.0,2.6208394,164.0546
20210826T0600,13.0505295,90.0,2.9024127,187.12502
20210826T0700,12.520529,91.0,2.3051248,141.34018
20210826T0800,13.180529,87.0,1.8,89.99999
20210826T0900,14.8005295,80.0,1.0182338,315.0
